"sample #','MLII', 'beat'"
"947,1196,F"
"948,1178,F"
"949,1119,F"
"950,1037,F"
"951,963,F"
"952,924,F"
"953,920,F"
"954,929,F"
"955,942,F"
"956,946,F"
"957,946,F"
"958,944,F"
"959,942,F"
"960,943,F"
"961,947,F"
"962,946,F"
"963,945,F"
"964,943,F"
"965,942,F"
"966,943,F"
"967,944,F"
"968,946,F"
"969,945,F"
"970,942,F"
"971,941,F"
"972,942,F"
"973,945,F"
"974,943,F"
"975,942,F"
"976,943,F"
"977,943,F"
"978,942,F"
"979,946,F"
"980,947,F"
"981,946,F"
"982,945,F"
"983,944,F"
"984,944,F"
"985,944,F"
"986,945,F"
"987,945,F"
"988,943,F"
"989,943,F"
"990,944,F"
"991,945,F"
"992,947,F"
"993,949,F"
"994,947,F"
"995,945,F"
"996,946,F"
"997,947,F"
"998,949,F"
"999,947,F"
"1000,945,F"
"1001,945,F"
"1002,947,F"
"1003,949,F"
"1004,949,F"
"1005,947,F"
"1006,945,F"
"1007,946,F"
"1008,946,F"
"1009,951,F"
"1010,949,F"
"1011,947,F"
"1012,945,F"
"1013,948,F"
"1014,947,F"
"1015,949,F"
"1016,948,F"
"1017,946,F"
"1018,948,F"
"1019,949,F"
"1020,949,F"
"1021,949,F"
"1022,949,F"
"1023,948,F"
"1024,946,F"
"1025,946,F"
"1026,951,F"
"1027,950,F"
"1028,949,F"
"1029,947,F"
"1030,946,F"
"1031,946,F"
"1032,949,F"
"1033,951,F"
"1034,947,F"
"1035,948,F"
"1036,946,F"
"1037,949,F"
"1038,949,F"
"1039,951,F"
"1040,950,F"
"1041,947,F"
"1042,945,F"
"1043,947,F"
"1044,947,F"
"1045,950,F"
"1046,951,F"
"1047,950,F"
"1048,949,F"
"1049,954,F"
"1050,957,F"
"1051,960,F"
"1052,961,F"
"1053,960,F"
"1054,959,F"
"1055,961,F"
"1056,965,F"
"1057,967,F"
"1058,964,F"
"1059,965,F"
"1060,967,F"
"1061,967,F"
"1062,968,F"
"1063,970,F"
"1064,968,F"
"1065,966,F"
"1066,965,F"
"1067,965,F"
"1068,966,F"
"1069,968,F"
"1070,966,F"
"1071,965,F"
"1072,962,F"
"1073,965,F"
"1074,967,F"
"1075,968,F"
"1076,969,F"
"1077,965,F"
"1078,963,F"
"1079,964,F"
"1080,965,F"
"1081,965,F"
"1082,967,F"
"1083,964,F"
"1084,963,F"
"1085,964,F"
"1086,965,F"
"1087,964,F"
"1088,963,F"
"1089,961,F"
"1090,962,F"
"1091,961,F"
"1092,965,F"
"1093,964,F"
"1094,962,F"
"1095,958,F"
"1096,956,F"
"1097,958,F"
"1098,960,F"
"1099,960,F"
"1100,961,F"
"1101,959,F"
"1102,957,F"
"1103,958,F"
"1104,961,F"
"1105,960,F"
"1106,960,F"
"1107,958,F"
"1108,955,F"
"1109,956,F"
"1110,957,F"
"1111,958,F"
"1112,957,F"
"1113,955,F"
"1114,954,F"
"1115,955,F"
"1116,956,F"
"1117,957,F"
"1118,957,F"
"1119,958,F"
"1120,957,F"
"1121,956,F"
"1122,957,F"
"1123,960,F"
"1124,956,F"
"1125,956,F"
"1126,954,F"
"1127,951,F"
"1128,952,F"
"1129,955,F"
"1130,955,F"
"1131,954,F"
"1132,954,F"
"1133,954,F"
"1134,956,F"
"1135,956,F"
"1136,955,F"
"1137,955,F"
"1138,948,F"
"1139,952,F"
"1140,952,F"
"1141,955,F"
"1142,955,F"
"1143,954,F"
"1144,953,F"
"1145,955,F"
"1146,958,F"
"1147,958,F"
"1148,957,F"
"1149,957,F"
"1150,956,F"
"1151,958,F"
"1152,960,F"
"1153,966,F"
"1154,966,F"
"1155,964,F"
"1156,963,F"
"1157,967,F"
"1158,968,F"
"1159,969,F"
"1160,968,F"
"1161,969,F"
"1162,970,F"
"1163,971,F"
"1164,974,F"
"1165,978,F"
"1166,975,F"
"1167,976,F"
"1168,973,F"
"1169,973,F"
"1170,975,F"
"1171,977,F"
"1172,973,F"
"1173,971,F"
"1174,972,F"
"1175,973,F"
"1176,970,F"
"1177,971,F"
"1178,968,F"
"1179,973,F"
"1180,974,F"
"1181,975,F"
"1182,971,F"
"1183,968,F"
"1184,964,F"
"1185,961,F"
"1186,959,F"
"1187,957,F"
"1188,955,F"
"1189,958,F"
"1190,957,F"
"1191,955,F"
"1192,952,F"
"1193,954,F"
"1194,956,F"
"1195,957,F"
"1196,955,F"
"1197,952,F"
"1198,951,F"
"1199,949,F"
"1200,950,F"
"1201,951,F"
"1202,951,F"
"1203,948,F"
"1204,949,F"
"1205,949,F"
"1206,951,F"
"1207,950,F"
"1208,952,F"
"1209,950,F"
"1210,948,F"
"1211,951,F"
"1212,952,F"
"1213,954,F"
"1214,953,F"
"1215,950,F"
"1216,947,F"
"1217,945,F"
"1218,938,F"
"1219,935,F"
"1220,927,F"
"1221,921,F"
"1222,911,F"
"1223,913,F"
"1224,929,F"
"1225,953,F"
"1226,980,F"
"1227,1013,F"
"1228,1061,F"
"1229,1119,F"
"1230,1165,F"
"1231,1188,T"
"1232,1180,F"
"1233,1131,F"
"1234,1053,F"
"1235,984,F"
"1236,940,F"
"1237,924,F"
"1238,928,F"
"1239,934,F"
"1240,942,F"
"1241,944,F"
"1242,946,F"
"1243,946,F"
"1244,944,F"
"1245,943,F"
"1246,939,F"
"1247,939,F"
"1248,943,F"
"1249,945,F"
"1250,943,F"
"1251,943,F"
"1252,941,F"
"1253,943,F"
"1254,947,F"
"1255,946,F"
"1256,945,F"
"1257,945,F"
"1258,945,F"
"1259,945,F"
"1260,947,F"
"1261,946,F"
"1262,946,F"
"1263,944,F"
"1264,939,F"
"1265,942,F"
"1266,944,F"
"1267,945,F"
"1268,944,F"
"1269,943,F"
"1270,939,F"
"1271,941,F"
"1272,943,F"
"1273,943,F"
"1274,943,F"
"1275,942,F"
"1276,941,F"
"1277,943,F"
"1278,940,F"
"1279,943,F"
"1280,942,F"
"1281,942,F"
"1282,940,F"
"1283,941,F"
"1284,943,F"
"1285,945,F"
"1286,945,F"
"1287,945,F"
"1288,944,F"
"1289,945,F"
"1290,945,F"
"1291,943,F"
"1292,943,F"
"1293,940,F"
"1294,937,F"
"1295,941,F"
"1296,943,F"
"1297,945,F"
"1298,946,F"
"1299,941,F"
"1300,943,F"
"1301,943,F"
"1302,944,F"
"1303,945,F"
"1304,945,F"
"1305,943,F"
"1306,940,F"
"1307,941,F"
"1308,944,F"
"1309,945,F"
"1310,944,F"
"1311,943,F"
"1312,939,F"
"1313,939,F"
"1314,939,F"
"1315,940,F"
"1316,939,F"
"1317,934,F"
"1318,935,F"
"1319,934,F"
"1320,937,F"
"1321,935,F"
"1322,930,F"
"1323,933,F"
"1324,932,F"
"1325,936,F"
"1326,937,F"
"1327,939,F"
"1328,938,F"
"1329,935,F"
